org_id,name,band,callsign,tagline,network_name,eformat,estatus,music_only
314,WBGO,FM,WBGO,The Jazz Source,WBGO,,1,False
1243,WNJT Radio - FM,FM,WNJT,New York Public Radio,,Public Radio,1,False
1130,WQXR Radio,FM,WQXR,The Classical Music Station of NYC,,Classical,1,True
781,WNTI,FM,WXPJ,Public Radio from Centenary College,,Adult Album Alternative,1,True
918,WWFM The Classical Network,FM,WWFM,WWFM The Classical Network,,Classical,1,True
599,WRTI Your Classical and Jazz Source,FM,WRTQ,Your Member-Supported Classical & Jazz Source,WRTI Your Classical and Jazz Source,,1,False
977,WWFM The Classical Network,FM,WWNJ,WWFM The Classical Network,,Classical,1,True
978,WWFM The Classical Network,FM,WWCJ,WWFM The Classical Network,,Classical,1,True
317,90.5 The Night,FM,WBJB,90.5 The Night,,Adult Album Alternative,1,True
539,WHYY,FM,WNJN,"Public Media serving Southeastern Pennsylvania, Delaware, South Jersey and the world",WHYY,,1,False
540,WNJP Radio - FM,FM,WNJP,New York Public Radio,,Public Radio,1,False
238,SDPB Radio,FM,KUSD,Learn. Dream. Grow.,SDPB Radio,,1,False
830,Classical MPR,FM,KRSD,Member supported,,Classical,1,True
60,KCUR 89.3,FM,KCUR,Listen and discover.,,Public Radio,1,False
278,St. Louis Public Radio,FM,KWMU,,,Public Radio,1,False
17,KBIA,FM,KBIA,Mid-Missouri's NPR station.,,Public Radio,1,False
170,KSMU,FM,KSMU,"On the Web, On the Air, and Where You Live",,Public Radio,1,False
193,The Bridge,FM,KTBG,Turn On. Tune In. Listen Local.,,Adult Album Alternative,1,True
155,KRCU Public Radio,FM,KRCU,Southeast Missouri's NPR station,,Public Radio,1,False
283,KXCV,FM,KXCV,Public Radio from Northwest Missouri State University,,Public Radio,1,False
675,WUWM 89.7 FM - Milwaukee's NPR,FM,WUWM,,WUWM 89.7 FM - Milwaukee's NPR,,1,False
366,Wisconsin Public Radio,FM,WERN,Wisconsin Public Radio,Wisconsin Public Radio,,1,False
718,WXPR,FM,WXPR,Local. Public. Radio.,,Public Radio,1,False
921,88Nine Radio Milwaukee,FM,WYMS,Discover New Music,,Adult Album Alternative,1,True
295,WABE 90.1,FM,WABE,Where ATL Meets NPR,,Public Radio,1,False
635,Georgia Public Broadcasting,FM,WSVH,Your Source for State & NPR News,Georgia Public Broadcasting,,1,False
652,WUGA,FM,WUGA,Your source for NPR News and great music.,,Public Radio,1,False
340,Jazz 91.9 WCLK,FM,WCLK,The Jazz of the City,,Jazz,1,True
644,Troy Public Radio,FM,WTJB,It's Time to Listen.,Troy Public Radio,,1,False
975,WFSU,FM,WFSL,Your Classical Music Source,,Classical,1,True
394,WFYI Public Radio,FM,WFYI,Indiana's Premier NPR & PBS Member Station,,Public Radio,1,False
385,WFIU,FM,WFIU,Indiana Public Media,,Public Radio,1,False
680,WVPE 88.1 Elkhart/South Bend,FM,WVPE,Inform. Entertain. Inspire.,,Public Radio,1,False
322,89.1 WBOI,FM,WBOI,NPR News and Diverse Music,89.1 WBOI,,1,False
533,WNIN,FM,WNIN,Building a Better Tri-State Together,,Public Radio,1,False
324,Indiana Public Radio,FM,WBST,Your Local Source for Classical Music and NPR News,Indiana Public Radio,,1,False
306,WBAA Classical,FM,WBAA,Your Classical Companion for West Central Indiana & Worldwide,,Classical,1,True
307,WBAA News,AM,WBAA,Purdue University's NPR Station,,Public Radio,1,False
1088,Lakeshore Public Radio,FM,WLPR,Listener supported public radio in Northwest Indiana.,,Public Radio,1,False
321,94.1 WBNI,FM,WBNI,"Classical Music | Fort Wayne, Indiana",,Classical,1,True
842,WBEZ Chicago,FM,WBEW,Chicago’s NPR News Station,WBEZ Chicago,,1,False
984,WVUB,FM,WVUB,Vincennes University Broadcasting,,Hot AC,1,True
94,KIOS,FM,KIOS,Omaha Public Radio,,Public Radio,1,False
204,NET Radio,FM,KUCV,Nebraska's NPR Station,NET Radio,,1,False
315,WBHM 90.3 FM,FM,WBHM,Public Radio for the Heart of Alabama,,Public Radio,1,False
480,WLRH 89.3 FM/HD,FM,WLRH,Huntsville Public Radio for the Tennessee Valley,,Public Radio,1,False
1229,Alabama Public Radio,FM,WHIL,We are Alabama Public Radio,Alabama Public Radio,,1,False
642,Troy Public Radio,FM,WTSU,It's Time to Listen.,Troy Public Radio,,1,False
446,WJAB,FM,WJAB,"Hot Blues, Cool Jazz",,Jazz,1,True
676,WVAS,FM,WVAS,"Jazz, Blues, News and Views",,Jazz,1,True
547,Connecticut Public Radio,FM,WNPR,Media for the curious.,Connecticut Public Radio,,1,False
611,WSHU,FM,WSHU,NPR News and Classical Music,WSHU,,1,False
1072,WHDD,FM,WHDD,Robin Hood Radio,,Public Radio,1,False
47,Prairie Public Broadcasting,FM,KCND,Prairie Public,Prairie Public Broadcasting,,1,False
88,Hawaii Public Radio,FM,KHPR,"Radio with vision, listen and see",Hawaii Public Radio,,1,False
90,Hawaii Public Radio,FM,KIPO,"Radio with vision, listen and see",,Classical,1,True
1346,Hawaii Public Radio,FM,KIPH,"Radio with vision, listen and see",,Public Radio,1,False
1347,Hawaii Public Radio,FM,KIPM,"Radio with vision, listen and see",,Classical,1,True
1412,Hawaii Public Radio,FM,KAHU,"Radio with vision, listen and see",,Classical,1,True
151,KQED,FM,KQED,KQED Public Media,KQED,,1,False
145,KPCC,FM,KPCC,Southern California Public Radio,KPCC,,1,False
139,KPBS Radio,FM,KPBS,San Diego's NPR Station - Where News Matters,,Public Radio,1,False
55,KCRW,FM,KCRW,"NPR's flagship station for Southern California featuring an independent mix of eclectic music, news, art and talk programming.",,Public Radio,1,False
286,CapRadio News,FM,KXJZ,,,Public Radio,1,False
2,KALW,FM,KALW,Local Public Radio,,Public Radio,1,False
45,KCLU,FM,KCLU,NPR and Local News,,Public Radio,1,False
15,KAZU,FM,KAZU,NPR for the Monterey Bay Area,,Public Radio,1,False
270,KVCR,FM,KVCR,Learn something new every day.,,Public Radio,1,False
289,CapRadio News,FM,KUOP,,CapRadio News,,1,False
273,Valley Public Radio,FM,KVPR,Valley Public Radio - NPR News and classical music for Central California,Valley Public Radio,,1,False
27,KCBX,FM,KCBX,"Central Coast Public Radio, serving San Luis Obispo, Santa Barbara and Monterey Counties",,Public Radio,1,False
43,North State Public Radio,FM,KCHO,North State Public Radio,North State Public Radio,,1,False
92,KHSU,FM,KHSU,Diverse Public Radio,,Public Radio,1,False
175,Jefferson Public Radio,FM,KNCA,Jefferson Public Radio,Jefferson Public Radio,,1,False
288,CapRadio Music,FM,KXPR,,,Classical,1,True
292,Mendocino County Public Broadcasting,FM,KZYX,Mendocino County Public Broadcasting,Mendocino County Public Broadcasting,,1,False
59,KCSM,FM,KCSM,The Bay Area's Jazz Station,,Jazz,1,True
153,KRCB-FM,FM,KRCB,KRCB-FM Radio 91,,Public Radio,1,False
290,CapRadio,FM,KXSR,CapRadio Music ,,Classical,1,True
1565,KERW-FM,FM,KERW,,,Public Radio,1,False
999,CapRadio,FM,KXJS,CapRadio Music,,Classical,1,True
112,MPR News,FM,KNOW,Discovering what matters. Member supported.,MPR News,,1,False
818,Classical MPR,FM,KSJN,Member supported,,Classical,1,True
14,KAXE,FM,KAXE,Connecting you to Northern Minnesota.,,Public Radio,1,False
836,Minnesota Public Radio,FM,WSCD,Member supported.,,Classical,1,True
823,Classical MPR,FM,KCCM,Member supported.,,Classical,1,True
832,Classical MPR,FM,KSJR,member supported,,Classical,1,True
828,Classical MPR,FM,KLSE,member supported,,Classical,1,True
829,Classical MPR,FM,KQMN,Member supported,,Classical,1,True
831,Classical MPR,FM,KRSW,Member supported,,Classical,1,True
835,Classical MPR,FM,WMLS,Member supported,,Classical,1,True
113,Classical MPR,FM,KBPR,Member supported,,Classical,1,True
936,The Current,FM,KCMP,Great music lives here,,Adult Album Alternative,1,True
1064,The Current,FM,KMSE,Great music lives here.,,Adult Album Alternative,1,True
826,Classical MPR,FM,KGAC,Member supported,,Classical,1,True
824,Classical MPR,FM,KCMF,Member supported,,Classical,1,True
825,Classical MPR,FM,KCRB,Member supported,,Classical,1,True
834,Classical MPR,FM,WIRR,Member supported,,Classical,1,True
867,Classical MPR,FM,KRSU,Member supported,,Classical,1,True
578,WPLN,FM,WPLN,,WPLN,,1,False
